SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,latitude,longitude,IS SHORT SALE
Past Sale,Single Family Residential,22180 Cloverly Ct,LOS ALTOS,CA,94024,1995000,3,2.5,LOS ALTOS,1537,20986,1957,2,Garage,,Sold,,,,,1995000,42216,1995000,http://www.redfin.com/CA/Los-Altos/22180-Cloverly-Ct-94024/home/900355,MLSListings Inc. (MLSLI),ML81472148,"Outlook Realty Group, Inc.",N,Y,37.328898,-122.062098,0
Past Sale,Single Family Residential,2452 N Foothill Blvd,Los Altos,CA,94024,,4,2,94024,1688,,1959,,,,,,,,,,42041,1810000,http://www.redfin.com/CA/Los-Altos/2452-N-Foothill-Blvd-94024/home/1226920,,,,N,Y,37.330229,-122.070034,
Past Sale,Single Family Residential,10617 Ainsworth Dr,LOS ALTOS,CA,94024,1899000,3,2.5,LOS ALTOS,2230,10454,1955,2,Garage,,Sold,,,,,1899000,42250,2300000,http://www.redfin.com/CA/Los-Altos/10617-Ainsworth-Dr-94024/home/1216273,MLSListings Inc. (MLSLI),ML81498108,Alain Pinel Realtors,N,Y,37.331529,-122.064882,0
Past Sale,Single Family Residential,10701 Baxter Ave,LOS ALTOS,CA,94024,1999888,4,3,LOS ALTOS,2847,10002,1984,2,Garage,,Sold,,,,,1999888,42361,2100000,http://www.redfin.com/CA/Los-Altos/10701-Baxter-Ave-94024/home/1565703,MLSListings Inc. (MLSLI),ML81522691,Morgan Real Estate,N,Y,37.333008,-122.068306,0
Past Sale,Single Family Residential,1789 Lark Ln,Sunnyvale,CA,94087,,4,2,94087,1828,,1962,,,,,,,,,,42034,1369000,http://www.redfin.com/CA/Sunnyvale/1789-Lark-Ln-94087/home/763875,,,,N,Y,37.333493,-122.017692,
Past Sale,Single Family Residential,1789 Linnet Ln,SUNNYVALE,CA,94087,1600000,4,2,SUNNYVALE,1828,6600,1962,2,Garage,,Sold,,,,,1428888,42178,1600000,http://www.redfin.com/CA/Sunnyvale/1789-Linnet-Ln-94087/home/1764361,MLSListings Inc. (MLSLI),ML81464007,Mikasa Homes & Funding,N,Y,37.333813,-122.016748,0
Past Sale,Single Family Residential,1773 Heron Ave,SUNNYVALE,CA,94087,1398000,4,2,SUNNYVALE,2268,7652,1962,2,Garage,,Sold,,,,,1398000,42277,1470000,http://www.redfin.com/CA/Sunnyvale/1773-Heron-Ave-94087/home/755245,MLSListings Inc. (MLSLI),ML81499603,Single Tree Realty,N,Y,37.3342931,-122.0196182,0
Past Sale,Single Family Residential,1785 Karameos Ct,SUNNYVALE,CA,94087,1488000,4,2,SUNNYVALE,1590,6417,1961,2,Garage,,Sold,,,,,1488000,42109,1701000,http://www.redfin.com/CA/Sunnyvale/1785-Karameos-Ct-94087/home/1465880,MLSListings Inc. (MLSLI),ML81458820,Keller Williams Realty - Cupertino,N,Y,37.334644,-122.054397,0
Past Sale,Single Family Residential,1782 Karameos Ct,Sunnyvale,CA,94087,,4,2,94087,1590,,1961,,,,,,,,,,42125,1710100,http://www.redfin.com/CA/Sunnyvale/1782-Karameos-Ct-94087/home/1154882,,,,N,Y,37.334645,-122.05383,
Past Sale,Multi-Family (2-4 Unit),1764 Noranda Dr,SUNNYVALE,CA,94087,1688000,8,,SUNNYVALE,3076,9372,1964,8,,,Sold,,,,,1688000,42298,1688000,http://www.redfin.com/CA/Sunnyvale/1764-Noranda-Dr-94087/home/1674172,MLSListings Inc. (MLSLI),ML81513619,Intero Real Estate Services,N,Y,37.33476,-122.04386,0
Past Sale,Single Family Residential,1505 Cedar Pl,Los Altos,CA,94024,,5,2.5,94024,2149,,1961,,,,,,,,,,42103,2300000,http://www.redfin.com/CA/Los-Altos/1505-Cedar-Pl-94024/home/779868,,,,N,Y,37.335147,-122.071503,
Past Sale,Single Family Residential,1773 Karameos Ct,SUNNYVALE,CA,94087,1650000,5,2.5,SUNNYVALE,2444,5873,1961,2,Garage,,Sold,,,,,1650000,42356,1850000,http://www.redfin.com/CA/Sunnyvale/1773-Karameos-Ct-94087/home/1364880,MLSListings Inc. (MLSLI),ML81521699,Keller Williams Palo Alto,N,Y,37.335149,-122.05439,0
Past Sale,Single Family Residential,1534 Redwood Dr,LOS ALTOS,CA,94024,1950000,4,2.5,LOS ALTOS,2051,10019,1962,2,Garage,,Sold,,,,42130,1988000,42133,1900000,http://www.redfin.com/CA/Los-Altos/1534-Redwood-Dr-94024/home/733088,MLSListings Inc. (MLSLI),ML81460322,Myriad Real Estate Group,N,Y,37.335162,-122.070921,0
Past Sale,Single Family Residential,1545 Redwood Dr,LOS ALTOS,CA,94024,2195000,4,2.5,LOS ALTOS,2221,10454,1959,3,Garage,,Sold,,,,42271,2295000,42307,2185000,http://www.redfin.com/CA/Los-Altos/1545-Redwood-Dr-94024/home/649656,MLSListings Inc. (MLSLI),ML81500886,Alain Pinel Realtors,N,Y,37.335309,-122.070322,0
Past Sale,Single Family Residential,1737 Lark Ln,Sunnyvale,CA,94087,,3,2.5,94087,1868,,1958,,,,,,,,,,42139,1820000,http://www.redfin.com/CA/Sunnyvale/1737-Lark-Ln-94087/home/1455529,,,,N,Y,37.335761,-122.017687,
Past Sale,Single Family Residential,1713 Wright Ave,SUNNYVALE,CA,94087,1349950,3,2,SUNNYVALE,1571,8276,1957,2,Garage,,Sold,,,,,1349950,42130,1704000,http://www.redfin.com/CA/Sunnyvale/1713-Wright-Ave-94087/home/597524,MLSListings Inc. (MLSLI),ML81462117,Alain Pinel Realtors,N,Y,37.33655,-122.055301,0
Past Sale,Condo/Coop,22330 Homestead #120,CUPERTINO,CA,95014,750999,2,2,CUPERTINO,1250,,1984,2,Garage,,Sold,,,,,750999,42054,777000,http://www.redfin.com/CA/Cupertino/22330-Homestead-Rd-95014/unit-120/home/1062136,MLSListings Inc. (MLSLI),ML81449308,RE/MAX Real Estate Services,N,Y,37.3365579,-122.065288,0
Past Sale,Condo/Coop,22330 Homestead Rd #204,CUPERTINO,CA,95014,1099000,3,2,CUPERTINO,1520,436,1984,2,Garage,,Sold,,,,,1099000,42179,1040000,http://www.redfin.com/CA/Cupertino/22330-Homestead-Rd-95014/unit-204/home/1662741,MLSListings Inc. (MLSLI),ML81465714,KW Peninsula Estates,N,Y,37.3365579,-122.065288,0
Past Sale,Single Family Residential,1721 Kimberly Dr,SUNNYVALE,CA,94087,1788000,4,3,SUNNYVALE,1958,8212,1956,2,Garage,,Sold,,,,,1788000,42317,1753000,http://www.redfin.com/CA/Sunnyvale/1721-Kimberly-Dr-94087/home/1118899,MLSListings Inc. (MLSLI),ML81515813,Keller Williams Realty - Cupertino,N,Y,37.336788,-122.053515,0
Past Sale,Single Family Residential,915 Mackenzie Dr,SUNNYVALE,CA,94087,1698000,5,3,SUNNYVALE,2433,16508,1968,2,Garage,,Sold,,,,,1698000,42209,1900000,http://www.redfin.com/CA/Sunnyvale/915-Mackenzie-Dr-94087/home/775011,MLSListings Inc. (MLSLI),ML81471264,Alain Pinel Realtors,N,Y,37.337265,-122.050881,0
Past Sale,Single Family Residential,1017 W Homestead Rd,SUNNYVALE,CA,94087,1495000,4,2,SUNNYVALE,1668,7035,1958,3,Garage,,Sold,,,,,1495000,42149,1432000,http://www.redfin.com/CA/Sunnyvale/1017-W-Homestead-Rd-94087/home/769303,MLSListings Inc. (MLSLI),ML81461942,First Pacific Real Estate,N,Y,37.337762,-122.055886,0
Past Sale,Single Family Residential,843 W Homestead Rd,SUNNYVALE,CA,94087,1398000,4,2,SUNNYVALE,1768,7974,1959,2,Garage,,Sold,,,,,1398000,42227,1630000,http://www.redfin.com/CA/Sunnyvale/843-W-Homestead-Rd-94087/home/771392,MLSListings Inc. (MLSLI),ML81471921,Intero Real Estate Services,N,Y,37.337786,-122.048089,0
Past Sale,Single Family Residential,779 W Homestead Rd,SUNNYVALE,CA,94087,1439000,4,2,SUNNYVALE,1768,8103,1960,2,Garage,,Sold,,,,,1439000,42332,1435000,http://www.redfin.com/CA/Sunnyvale/779-W-Homestead-Rd-94087/home/1128045,MLSListings Inc. (MLSLI),ML81520055,Keller Williams Realty-Silicon Valley,N,Y,37.337789,-122.044593,0
Past Sale,Single Family Residential,571 E Homestead Rd,SUNNYVALE,CA,94087,1749950,5,3,SUNNYVALE,3528,9681,1986,8,Garage,,Sold,,,,,1749950,42213,1860000,http://www.redfin.com/CA/Sunnyvale/571-E-Homestead-Rd-94087/home/760156,MLSListings Inc. (MLSLI),ML81468098,Realty World-Champions,N,Y,37.337892,-122.026844,0
Past Sale,Single Family Residential,1672 Langport Dr,SUNNYVALE,CA,94087,1699000,5,3,SUNNYVALE,3009,10423,1978,3,Garage,,Sold,,,,,1699000,42194,1865000,http://www.redfin.com/CA/Sunnyvale/1672-Langport-Dr-94087/home/760977,MLSListings Inc. (MLSLI),ML81470393,Century 21 M&M and Associates,N,Y,37.337924,-122.024514,0
Past Sale,Single Family Residential,913 E Homestead Rd,SUNNYVALE,CA,94087,1250000,3,2,SUNNYVALE,1770,8720,1958,0,,,Sold,,,,,1250000,42195,1350000,http://www.redfin.com/CA/Sunnyvale/913-E-Homestead-Rd-94087/home/764797,MLSListings Inc. (MLSLI),ML81461018,Alain Pinel Realtors,N,Y,37.338004,-122.011788,0
Past Sale,Single Family Residential,923 E Homestead Rd,SUNNYVALE,CA,94087,1248888,3,2,SUNNYVALE,1266,7085,1958,2,Garage,,Sold,,,,42298,1288888,42353,1165000,http://www.redfin.com/CA/Sunnyvale/923-E-Homestead-Rd-94087/home/1344282,MLSListings Inc. (MLSLI),ML81515449,Starriver Inc,N,Y,37.338009,-122.010867,0
Past Sale,Single Family Residential,1051 E Homestead Rd,SUNNYVALE,CA,94087,1098000,3,2,SUNNYVALE,1232,6222,1957,4,Garage,,Sold,,,,,1098000,42236,1178000,http://www.redfin.com/CA/Sunnyvale/1051-E-Homestead-Rd-94087/home/675745,MLSListings Inc. (MLSLI),ML81486343,Keller Williams Realty - Cupertino,N,Y,37.338023,-122.004592,0
Past Sale,Single Family Residential,708 Londonderry Dr,SUNNYVALE,CA,94087,1598000,5,2.5,SUNNYVALE,2216,7208,1969,2,Garage,,Sold,,,,,1598000,42277,1630000,http://www.redfin.com/CA/Sunnyvale/708-Londonderry-Dr-94087/home/1739655,MLSListings Inc. (MLSLI),ML81500439,Referral Realty,N,Y,37.338223,-122.022767,0
Past Sale,Single Family Residential,1062 Lorne Way,SUNNYVALE,CA,94087,1180000,3,2,SUNNYVALE,1414,6000,1957,2,Garage,,Sold,,,,,1180000,42062,1500000,http://www.redfin.com/CA/Sunnyvale/1062-Lorne-Way-94087/home/1075193,MLSListings Inc. (MLSLI),ML81451539,Realty One Group - World Properties,N,Y,37.338312,-122.004182,0
Past Sale,Single Family Residential,565 Loch Lomond Ct,SUNNYVALE,CA,94087,1798888,5,3,SUNNYVALE,3080,10019,1986,3,Garage,,Sold,,,,,1798888,42296,2050000,http://www.redfin.com/CA/Sunnyvale/565-Loch-Lomond-Ct-94087/home/759284,MLSListings Inc. (MLSLI),ML81513072,Alain Pinel Realtors,N,Y,37.338364,-122.026526,0
Past Sale,Single Family Residential,1675 Manitoba Dr,SUNNYVALE,CA,94087,1700000,4,2,SUNNYVALE,1844,7834,1960,2,Garage,,Sold,,,,,1700000,42286,1850000,http://www.redfin.com/CA/Sunnyvale/1675-Manitoba-Dr-94087/home/1766620,MLSListings Inc. (MLSLI),ML81512925,Alain Pinel Realtors,N,Y,37.338524,-122.044479,0
